CustomerID,TotalSpent,NumTransactions,ItemsBought,Cluster
12346.0,0.0,2,0,0
12347.0,4310.0,7,2458,0
12348.0,1797.24,4,2341,0
12349.0,1757.55,1,631,0
12350.0,334.4,1,197,0
12352.0,1545.41,11,470,0
12353.0,89.0,1,20,0
12354.0,1079.4,1,530,0
12355.0,459.4,1,240,0
12356.0,2811.43,3,1591,0
12357.0,6207.67,1,2708,0
12358.0,1168.06,2,248,0
12359.0,6245.53,6,1612,0
12360.0,2662.06,3,1165,0
12361.0,189.9,1,91,0
12362.0,5154.58,13,2212,2
12363.0,552.0,2,408,0
12364.0,1313.1,4,1506,0
12365.0,320.69,3,173,0
12367.0,168.9,1,173,0
12370.0,3545.69,4,2353,0
12371.0,1887.96,2,591,0
12372.0,1298.04,3,794,0
12373.0,364.6,1,197,0
12374.0,742.9300000000001,1,342,0
12375.0,455.42,3,177,0
12377.0,1628.12,2,944,0
12378.0,4008.62,1,2529,0
12379.0,850.29,3,406,0
12380.0,2720.56,5,1126,0
12381.0,1803.96,6,783,0
12383.0,1839.31,6,1529,0
12384.0,566.16,3,121,0
12386.0,401.9,2,354,0
12388.0,2780.66,6,1462,0
12390.0,549.84,1,353,0
12391.0,460.89,1,300,0
12393.0,1582.6000000000001,4,816,0
12394.0,1272.48,2,819,0
12395.0,2998.28,15,2113,2
12397.0,2409.9,2,1263,0
12398.0,1635.6599999999999,1,1394,0
12399.0,1108.65,4,1178,0
12401.0,84.3,1,11,0
12402.0,225.6,1,94,0
12403.0,409.7,2,95,0
12405.0,1710.39,1,857,0
12406.0,3280.75,3,1809,0
12407.0,1708.1200000000001,5,1416,0
12408.0,2842.57,9,1399,0
12409.0,11056.93,7,5543,2
12410.0,681.0799999999999,3,209,0
12412.0,1226.88,3,829,0
12413.0,694.15,5,282,0
12414.0,562.41,3,300,0
12415.0,123725.45,26,77242,3
12417.0,3578.8,12,1539,0
12418.0,668.58,1,407,0
12420.0,600.39,1,345,0
12421.0,806.27,5,483,0
12422.0,803.5600000000001,3,370,0
12423.0,1849.11,9,1327,0
12424.0,1760.96,2,740,0
12425.0,777.2,1,496,0
12426.0,582.73,1,258,0
12427.0,708.37,5,236,0
12428.0,7877.2,12,3503,2
12429.0,3750.4,4,1557,0
12430.0,256.4,1,117,0
12431.0,6416.39,18,2868,2
12432.0,5059.32,5,1801,0
12433.0,13375.87,7,11071,2
12434.0,765.19,4,373,0
12435.0,7829.89,2,2055,0
12436.0,509.01,1,211,0
12437.0,4896.66,19,2918,2
12438.0,2906.85,2,1180,0
12441.0,173.55,1,121,0
12442.0,172.06,1,182,0
12444.0,5005.46,5,1155,0
12445.0,133.4,1,62,0
12446.0,1002.3100000000001,1,352,0
